b'id',b'key',b'value',b'type'
153394683,b'ele',b'201',b'regular'
153394683,b'gnis:Class',b'Populated Place',b'regular'
153394683,b'gnis:County',b'Kenosha',b'regular'
153394683,b'gnis:County_num',b'059',b'regular'
153394683,b'gnis:ST_alpha',b'WI',b'regular'
153394683,b'gnis:ST_num',b'55',b'regular'
153394683,b'id',b'1575476',b'gnis'
153394683,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153394683,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153394683,b'name',b'Tobin',b'regular'
153394683,b'place',b'hamlet',b'regular'
153458088,b'ele',b'175',b'regular'
153458088,b'gnis:Class',b'Populated Place',b'regular'
153458088,b'gnis:County',b'Kenosha',b'regular'
153458088,b'gnis:County_num',b'059',b'regular'
153458088,b'gnis:ST_alpha',b'WI',b'regular'
153458088,b'gnis:ST_num',b'55',b'regular'
153458088,b'id',b'1562725',b'gnis'
153458088,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153458088,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153458088,b'name',b'Carol Beach',b'regular'
153458088,b'place',b'hamlet',b'regular'
153476099,b'created_by',b'Potlatch 0.10f',b'regular'
153476099,b'ele',b'210',b'regular'
153476099,b'gnis:Class',b'Populated Place',b'regular'
153476099,b'gnis:County',b'Kenosha',b'regular'
153476099,b'gnis:County_num',b'059',b'regular'
153476099,b'gnis:ST_alpha',b'WI',b'regular'
153476099,b'gnis:ST_num',b'55',b'regular'
153476099,b'id',b'1577858',b'gnis'
153476099,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153476099,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153476099,b'name',b'Truesdell',b'regular'
153476099,b'place',b'hamlet',b'regular'
153526596,b'ele',b'229',b'regular'
153526596,b'gnis:Class',b'Populated Place',b'regular'
153526596,b'gnis:County',b'Kenosha',b'regular'
153526596,b'gnis:County_num',b'059',b'regular'
153526596,b'gnis:ST_alpha',b'WI',b'regular'
153526596,b'gnis:ST_num',b'55',b'regular'
153526596,b'id',b'1577043',b'gnis'
153526596,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153526596,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153526596,b'name',b'Woodworth',b'regular'
153526596,b'place',b'hamlet',b'regular'
153526596,b'wikidata',b'Q3709271',b'regular'
153526596,b'wikipedia',"b'en:Woodworth, Wisconsin'",b'regular'
153573944,b'population',b'4909;2006',b'census'
153573944,b'ele',b'237',b'regular'
153573944,b'gnis:Class',b'Populated Place',b'regular'
153573944,b'gnis:County',b'Kenosha',b'regular'
153573944,b'gnis:County_num',b'059',b'regular'
153573944,b'gnis:ST_alpha',b'WI',b'regular'
153573944,b'gnis:ST_num',b'55',b'regular'
153573944,b'id',b'1562217',b'gnis'
153573944,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153573944,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153573944,b'name',b'Bristol',b'regular'
153573944,b'place',b'village',b'regular'
153573944,b'population',b'4909',b'regular'
153573944,b'wikidata',b'Q4968770',b'regular'
153573944,b'wikipedia',"b'en:Bristol (town), Kenosha County, Wisconsin'",b'regular'
153622844,b'ele',b'249',b'regular'
153622844,b'gnis:Class',b'Populated Place',b'regular'
153622844,b'gnis:County',b'Kenosha',b'regular'
153622844,b'gnis:County_num',b'059',b'regular'
153622844,b'gnis:ST_alpha',b'WI',b'regular'
153622844,b'gnis:ST_num',b'55',b'regular'
153622844,b'id',b'1877175',b'gnis'
153622844,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153622844,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153622844,b'name',b'Lake Shangrila',b'regular'
153622844,b'place',b'neighbourhood',b'regular'
153622844,b'wikidata',b'Q1569684',b'regular'
153622844,b'wikipedia',"b'en:Lake Shangrila, Wisconsin'",b'regular'
153649582,b'population',b'9525;2006',b'census'
153649582,b'ele',b'213',b'regular'
153649582,b'gnis:Class',b'Populated Place',b'regular'
153649582,b'gnis:County',b'Kenosha',b'regular'
153649582,b'gnis:County_num',b'059',b'regular'
153649582,b'gnis:ST_alpha',b'WI',b'regular'
153649582,b'gnis:ST_num',b'55',b'regular'
153649582,b'id',b'1574369',b'gnis'
153649582,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153649582,b'is_in',"b'Kenosha,Wisconsin,Wis.,WI,USA'",b'regular'
153649582,b'name',b'Somers',b'regular'
153649582,b'place',b'village',b'regular'
153649582,b'population',b'9525',b'regular'
153667213,b'population',b'100150;2012',b'census'
153667213,b'ele',b'184',b'regular'
153667213,b'gnis:Class',b'Populated Place',b'regular'
153667213,b'gnis:County',b'Kenosha',b'regular'
153667213,b'gnis:County_num',b'059',b'regular'
153667213,b'gnis:ST_alpha',b'WI',b'regular'
153667213,b'gnis:ST_num',b'55',b'regular'
153667213,b'id',b'1567416',b'gnis'
